 Folio, Ejercicio, Mes, Fecha, Dia, Hora, Tipo_de_accidente, Resolución, Origen_de_reporte, Tipo_de_asentamiento, Nombre_de_asentamiento, Tipo_de_vialidad, Nombre_de_la_Vialidad, Georreferencia, Nota
2,2021,Enero-Marzo,2021-01-01,Viernes,05:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Fresnos,Avenida,Av Fresnos 745,"25.768185, -100.248738",
4,2021,Enero-Marzo,2021-01-01,Viernes,07:30:00,Alcance Con Estrellamiento,Solucionado En La Via Publica,911.0,Colonia,Las Margaritas,Avenida,Tulipan  Azalia  Hda Las Margaritas,"25.713039, -100.154072",
9,2021,Enero-Marzo,2021-01-01,Viernes,22:20:00,Alcance,Peritaje,911.0,Colonia,Moderno,Avenida,Santo Domingo  Av Concordia,"25.778058, -100.213616",
10,2021,Enero-Marzo,2021-01-01,Viernes,22:30:00,Atropello,Investigaciones,911.0,Colonia,Metroplex,Avenida,E Sexta  Estelaris  Col Metroplex,"25.797157, -100.2487",
11,2021,Enero-Marzo,2021-01-02,Sabado,00:56:00,Alcance Con Estrellamiento,Investigaciones,911.0,Colonia,Nueva Las Puentes,Avenida,Av O Primera  31 Metroplex,"25.785836, -100.25594",
14,2021,Enero-Marzo,2021-01-02,Sabado,14:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Centro,Carretera,Ojo De Agua  Via Matamoros,"25.768759, -100.213128",
15,2021,Enero-Marzo,2021-01-02,Sabado,14:40:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Huinala,Avenida,Av Ruiz Cortinez  Av Dulces Nombres,"25.753849, -100.152558",
26,2021,Enero-Marzo,2021-01-03,Domingo,18:30:00,Alcance,Peritaje,911.0,Colonia,Moderno Apodaca,Avenida,Av Concordia  Sto Domingo,"25.777991, -100.213637",
27,2021,Enero-Marzo,2021-01-03,Domingo,15:00:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Santa Rosa,Carretera,Humberto Ramos Lozano  Felipe Angeles,"25.824509, -100.226981",
28,2021,Enero-Marzo,2021-01-04,Lunes,12:40:00,Alcance Con Estrellamiento,Peritaje,911.0,Colonia,Residencial,Calle,Gaseducto  Londres  Col Renaceres,"25.817888, -100.237937",
32,2021,Enero-Marzo,2021-01-04,Lunes,08:40:00,De Frente,Solucionado En La Via Publica,911.0,Colonia,Villa San Carlos,Avenida,Villa  San Carlos  Villa Soria,"25.734161, -100.157008",
33,2021,Enero-Marzo,2021-01-04,Lunes,14:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Humberto Ramos Lozano Mariano Garza,"25.777951, -100.186992",
38,2021,Enero-Marzo,2021-01-04,Lunes,17:00:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Avenida,Av Concordia  Alcanford  Col Ebanos,"25.782198, -100.241657",
39,2021,Enero-Marzo,2021-01-04,Lunes,18:30:00,Lateral,Solucionado En La Via Publica,911.0,Colonia,Ebanos,Avenida,Chopo  Nardo,"25.778826, -100.237247",
40,2021,Enero-Marzo,2021-01-04,Lunes,19:30:00,Alcance,Solucionado En La Via Publica,911.0,Colonia,Centro,Carretera,Miguel Aleman  Arco Vial,"25.780424, -100.175222",
